-1.0668	0.31541	-0.27408	0.83855	-0.1368	0.53055	-0.90078	1.5935	-0.61413	0.82234	-0.47388	1.5178	-0.98233	0.25492
-0.32063	0.3113	-0.53708	-0.65867	-0.40632	0.38153	-0.29462	-0.30742	-0.64245	0.85909	-1.1539	1.7751	-0.18633	1.6819
-0.73832	-0.71311	0.46288	0.52666	-0.35196	-0.21339	-0.84213	1.0408	-0.53448	0.28711	-1.1306	1.2022	-0.2747	1.3458
-0.95605	0.14794	-0.17275	-0.0087773	0.54436	-0.50137	-0.39025	1.1641	-1.2412	-0.56152	-1.9042	1.8156	0.062286	0.15168
-0.9158	0.63269	0.1005	2.2358	0.62458	1.7876	-0.53785	1.2238	-0.64487	-0.80925	0.38367	-0.88037	-1.583	1.2034
-1.1349	0.82539	0.44871	-0.26705	-0.067047	0.8762	-1.1537	0.71969	-0.1926	-0.5887	-0.88713	0.53205	-0.84071	1.2777
-1.2776	-0.033664	0.0041366	0.048808	-0.26891	0.40319	-0.31949	1.3986	-0.77156	0.72542	-0.49247	1.0935	-1.0948	0.37307
-0.27029	-0.43786	-0.26636	-0.44214	0.69935	-1.3335	-0.92963	0.77739	0.12276	0.58418	-0.81159	2.1983	-2.4122	2.8013
-1.3887	-0.52428	-0.49802	-0.44252	-0.93322	1.2587	-1.3343	1.066	-0.245	0.33847	-1.0674	0.15698	-1.3637	0.78778
-0.89417	-0.11505	0.5567	-1.7052	0.9645	-0.61889	-0.8091	-0.61023	-0.49876	1.3501	-0.98378	1.4049	-0.73775	0.46394
-0.49001	-0.57736	0.37182	0.18297	0.24829	0.20163	-0.22157	1.2039	-0.48415	-0.56813	-1.2406	0.25196	-0.64846	-0.10683
-0.76523	-0.27311	0.28978	0.94703	-0.040822	1.1749	-1.1455	0.072918	-0.33916	1.1605	-0.42434	0.52878	-0.87365	1.6033
-0.83115	-0.12505	0.77743	-0.0052031	0.1104	-0.56325	0.45295	0.15601	-0.81402	0.53187	-1.2602	1.1602	-1.1793	-0.32018
-0.93019	-0.33015	1.1787	-2.163	-1.3495	2.6115	-2.5645	3.6957	-0.79077	0.49989	0.48084	2.1859	-0.94879	2.4981
-0.71097	0.049406	-0.11987	0.9162	-0.20552	0.89083	-0.7649	1.5193	-1.7467	0.11461	-0.90752	1.3176	-0.43763	1.0347
-0.18515	-0.73576	0.55041	-0.5678	0.28585	0.2467	-0.68405	0.47098	-0.52054	0.93233	-0.59117	1.8825	-1.2464	-0.052497
