0.11	0.04
0.11	0.04
0.11	0.05
0.12	0.04
0.14	0.04
0.11	0.05
0.13	0.05
0.11	0.04
0.12	0.05
0.12	0.05
0.14	0.05
0.14	0.05
0.12	0.04
0.11	0.04
0.11	0.05
0.12	0.05
0.13	0.06
0.11	0.05
0.13	0.05
0.14	0.05
0.11	0.04
0.12	0.05
0.11	0.05
0.13	0.05
0.13	0.04
0.12	0.04
0.12	0.05
0.16	0.05
0.12	0.05
0.12	0.05
0.13	0.05
0.13	0.05
0.13	0.04
0.11	0.06
0.12	0.04
0.12	0.06
0.13	0.05
0.12	0.04
0.11	0.04
0.12	0.04
0.12	0.06
0.13	0.04
0.12	0.04
0.11	0.05
0.12	0.04
0.15	0.04
0.11	0.04
0.12	0.05
0.13	0.04
0.12	0.05
0.12	0.05
0.13	0.05
0.1	0.06
0.11	0.04
0.13	0.04
0.1	0.04
0.12	0.05
0.13	0.05
0.12	0.04
0.11	0.05
0.12	0.05
0.12	0.04
0.12	0.05
0.13	0.05
0.12	0.04
0.1	0.04
0.13	0.05
0.13	0.05
0.13	0.04
0.12	0.05
0.11	0.04
0.11	0.06
0.11	0.05
0.12	0.05
0.13	0.05
0.11	0.04
0.11	0.05
0.13	0.04
0.12	0.04
0.13	0.04
0.14	0.05
0.11	0.05
0.12	0.05
0.12	0.04
0.11	0.06
0.13	0.05
0.13	0.04
0.12	0.05
0.11	0.04
0.13	0.05
0.11	0.05
0.13	0.04
0.11	0.05
0.1	0.05
0.12	0.04
0.12	0.05
0.13	0.05
0.13	0.06
0.12	0.05
0.14	0.05
0.13	0.04
0.12	0.05
0.13	0.04
0.12	0.05
0.13	0.06
0.12	0.05
0.13	0.05
0.13	0.04
0.12	0.05
0.11	0.04
0.1	0.04
0.12	0.04
0.11	0.05
0.13	0.04
0.12	0.04
0.11	0.05
0.12	0.05
0.13	0.04
0.11	0.04
0.11	0.05
0.11	0.05
0.1	0.04
0.11	0.04
0.13	0.04
0.14	0.05
0.12	0.05
0.14	0.05
0.12	0.04
0.11	0.04
0.13	0.04
0.12	0.04
0.11	0.05
0.12	0.04
0.12	0.05
0.11	0.04
0.12	0.04
0.13	0.05
0.11	0.04
0.11	0.04
0.12	0.06
0.12	0.04
0.12	0.05
0.11	0.05
0.12	0.05
0.13	0.05
0.13	0.04
0.12	0.05
0.12	0.04
0.11	0.04
0.12	0.05
0.12	0.05
0.1	0.04
0.11	0.05
0.11	0.05
0.13	0.05
0.12	0.05
0.11	0.05
0.11	0.05
0.12	0.05
0.14	0.05
0.11	0.04
0.11	0.04
0.12	0.05
0.12	0.04
0.11	0.05
0.12	0.05
0.12	0.05
0.13	0.05
0.13	0.04
0.12	0.04
0.12	0.04
0.12	0.04
0.1	0.04
0.12	0.04
0.12	0.05
0.13	0.05
0.12	0.04
0.11	0.04
0.11	0.06
0.14	0.04
0.11	0.04
0.11	0.05
0.13	0.05
0.14	0.06
0.12	0.05
0.11	0.05
0.12	0.05
0.12	0.04
0.13	0.05
0.14	0.05
0.13	0.05
0.13	0.05
0.12	0.05
0.11	0.04
0.12	0.05
0.13	0.06
0.14	0.04
0.11	0.05
0.12	0.05
0.11	0.05
0.12	0.05
0.12	0.04
0.13	0.05
0.1	0.05
0.1	0.05
0.12	0.04
0.11	0.05
0.13	0.05
0.11	0.06
0.12	0.05
0.11	0.05
0.12	0.05
0.11	0.05
0.13	0.05
0.11	0.04
0.12	0.04
0.13	0.05
0.13	0.05
0.13	0.05
0.12	0.03
0.12	0.05
0.13	0.04
0.12	0.04
0.11	0.05
0.13	0.04
0.12	0.05
0.12	0.04
0.12	0.05
0.13	0.05
0.12	0.05
0.11	0.05
0.12	0.04
0.12	0.05
0.12	0.04
0.11	0.05
0.1	0.04
0.11	0.05
0.12	0.04
0.11	0.04
0.11	0.05
0.12	0.05
0.12	0.05
0.11	0.05
0.13	0.05
0.13	0.05
0.11	0.05
0.12	0.04
0.13	0.04
0.11	0.05
0.11	0.05
0.11	0.05
0.13	0.04
0.14	0.05
0.11	0.05
0.12	0.05
0.13	0.05
0.12	0.04
0.12	0.05
0.13	0.04
0.1	0.06
0.11	0.05
0.12	0.04
0.11	0.04
0.12	0.04
0.12	0.05
0.12	0.05
0.11	0.04
0.1	0.05
0.13	0.04
0.12	0.04
0.12	0.05
0.13	0.05
0.12	0.05
0.11	0.05
0.12	0.04
0.11	0.04
0.1	0.05
0.11	0.04
0.12	0.04
0.11	0.04
0.12	0.06
0.13	0.04
0.11	0.05
0.13	0.05
0.12	0.04
0.11	0.05
0.13	0.05
0.12	0.05
0.12	0.04
0.14	0.04
0.11	0.04
0.13	0.05
0.11	0.05
0.13	0.04
0.12	0.05
0.12	0.04
0.12	0.05
0.11	0.04
0.12	0.05
0.12	0.05
0.12	0.04
0.12	0.05
0.12	0.05
0.12	0.05
0.13	0.04
0.13	0.04
0.13	0.05
0.12	0.05
0.13	0.05
0.12	0.05
0.12	0.05
0.11	0.05
0.12	0.04
0.13	0.05
0.13	0.04
0.11	0.04
0.14	0.05
0.12	0.04
0.11	0.04
0.12	0.05
0.13	0.05
0.12	0.04
0.13	0.05
0.13	0.05
0.12	0.05
0.13	0.04
0.11	0.05
0.11	0.04
0.12	0.04
0.13	0.05
0.12	0.06
0.11	0.05
0.12	0.04
0.12	0.05
0.12	0.04
0.11	0.05
0.12	0.04
0.12	0.06
0.13	0.04
0.12	0.04
0.12	0.05
0.13	0.04
0.12	0.05
0.12	0.06
0.12	0.04
0.12	0.04
0.14	0.05
0.11	0.05
0.12	0.04
0.12	0.05
0.13	0.04
0.13	0.05
0.11	0.05
0.12	0.04
0.13	0.05
0.13	0.05
0.13	0.04
0.11	0.05
0.12	0.05
0.12	0.05
0.12	0.05
0.12	0.05
0.14	0.05
0.13	0.05
0.12	0.05
0.12	0.04
0.11	0.04
0.12	0.04
0.13	0.05
0.13	0.04
0.13	0.05
0.12	0.04
0.13	0.05
0.12	0.05
0.11	0.04
0.12	0.05
0.11	0.05
0.12	0.04
0.13	0.05
0.14	0.04
0.12	0.04
0.12	0.04
0.11	0.05
0.13	0.04
0.14	0.05
0.11	0.04
0.12	0.05
0.13	0.04
0.13	0.05
0.11	0.05
0.12	0.06
0.13	0.05
0.12	0.05
0.13	0.05
0.12	0.04
0.12	0.04
0.12	0.05
0.13	0.04
0.13	0.05
0.12	0.05
0.13	0.04
0.11	0.05
0.11	0.04
0.11	0.04
0.13	0.04
0.13	0.05
0.13	0.04
0.13	0.05
0.12	0.06
0.11	0.05
0.12	0.04
0.11	0.05
0.12	0.05
0.13	0.04
0.1	0.05
0.12	0.05
0.11	0.04
0.14	0.05
0.12	0.05
0.12	0.05
0.11	0.05
0.14	0.04
0.12	0.05
0.12	0.05
