467.56	124.24	27.968	86.023	124.78	84.647	85.699	2447.1	0.086024	59.197	63.229	103.8	101.59	125.07	0.56052	2.4908	121.11	2.385e+06	0.012587	140.43	1.5526	97.34	228.73	90.42	88.419	125.89	35.377	23003	43.608	136.51	79.648	116.62	18.026	2.1589	334.95	998.52	131.24	63.868	135.92	227.56	109.11	79.947	120.66	126.54	109.22	121.99	1.1267	111.57	412.54	9215.4	254.14	5.7596	88.479	1.6134	1.4109e+05	150.19	69.334	157.93
255.86	94.047	1.3772	20436	952.8	119.02	132.54	298.27	2780.7	111.21	117.59	87.756	66.248	106.26	172.32	138.13	3939.4	86.801	131.9	15846	85.247	143.36	41.707	31.313	29.506	871.78	133.54	399.81	72.626	0.14055	105.42	3392.6	43.798	570.62	91.64	1126.1	0.49314	1.2043e+07	123.59	188.55	101.95	61.862	37.256	100.21	39.279	84.524	1069.7	10778	70.277	1.1973e+05	344.81	128.75	128.61	134.61	141.31	72.272	88.134	103.79
79.801	34.335	6.1398	133.24	22.135	49976	124.17	107.19	115.72	62132	70.797	1581.4	109.47	135.41	5.1417	80.01	0.18167	12193	5477.1	192.73	1.3408e+05	2125.3	95.786	104.85	66.073	60.331	165.57	6.5827	0.055542	120.5	50.183	3.6555	16.419	134.66	2335.8	123.81	17209	93.248	100.41	69.868	17.429	3383	50.464	118.84	100.7	63.85	118.95	17640	20.058	142.14	23.613	13.487	111.08	593.43	127.59	6153.4	0.8453	100.13
110.42	2.8046	159.95	105.47	2148.5	1.126	3018.9	133.65	2.1347	619.63	0.088065	62.163	104.21	136.71	74.086	659.14	79.931	1172.8	3.165	13.938	543.21	165.1	3315.6	20506	161.97	106.73	4.9297	86.055	79.823	0.084444	2566.7	71.714	39.769	2536.1	1298.7	7.1751	2.083	130.14	85.862	743.25	94370	14.781	127.94	108.33	731.87	11.045	84.397	102.18	368.9	101.88	112.05	124.61	294.44	251.95	317.63	276.42	136.17	25292
89.262	106.76	147.04	151.95	3.6598	0.084537	116.97	1634.6	131.07	28.849	130.24	122.38	787.38	103.55	121.2	72.632	144.42	90.277	444.05	165.11	103.9	121.81	11453	1769.9	135.74	562.84	4.6738	25.35	83.626	0.0018022	14417	1138.4	9.7508	132.67	6.6455	107.27	128.64	25.427	5.1375	18199	116.73	110.49	92.039	69.62	103.64	5.0037	77.65	147.64	2316	85.36	6.7311	128.66	3262.2	14331	6662	9.0924e+06	133.25	99.378
116.2	984.92	111.63	116.18	165.24	75.315	3427.5	73.524	150.15	16.428	79.998	209.52	1.7189	101.98	90.509	433.09	125.11	2.3207e+05	6.8738e+06	172.89	113.13	0.13352	113.06	56.976	112	25.336	96.691	97.958	121.85	66.613	1.3316	56.562	16.013	184.1	76.736	100.45	5.9162	59.327	5.6283	118.51	2052.8	115.29	2878.4	1087.1	121.82	2.0013	96.042	129.1	102.47	58.416	366.08	39.617	10713	69.092	30.088	3745.2	89.103	9073.8
104.42	89.378	11891	104.42	9.1644	6.9265	127.89	101.24	0.29154	171.63	733.43	3.5539	65.894	106.25	140.99	57.535	5676.8	107.92	44.39	97.401	49700	108.32	21.156	132.3	134.67	124.71	73.553	4.0307	97.19	131.87	134.99	6526.8	137.22	63.464	67.709	94.704	188.53	448.02	213.64	96.582	146.43	76.042	348.69	112.44	107.49	1155.6	2.5322	78.374	549.85	0.56708	109.21	122.49	137.86	124.76	5735.1	121.48	5648.6	24.443
87.739	2161.5	100.09	61.115	165.8	106.24	9118.5	136.57	73.517	64.578	110.77	28.418	131.6	112.12	5595.4	125.9	82.792	151.04	19.566	175.58	1873.2	136.99	949.44	118.35	3237.2	73.733	1.0498	0.13938	23546	1.7458e+05	0.084155	103.79	61.259	83.058	88.75	16.32	118.95	9581.8	96.831	108.86	81.201	95.794	0.49282	200.41	0.53717	119.6	109.62	96.379	52.006	1.088e+06	103.12	79.663	15703	153.36	0.055612	108.98	89.357	119.24
110.11	103.5	2.9277e+06	2757.6	55.98	59.832	61.135	2348.9	98.031	652.58	19.559	105.59	1877.5	117.7	111.58	85.81	639.09	121.73	87.646	981.26	90.185	311.96	147.97	111.21	0.0084982	2.6434e+05	1753.5	103.41	65.11	126.89	68.314	7096.3	1.313e+05	72.804	64.296	73.353	115.23	1011.4	91.799	5831.5	121.4	4.6173	2158	2.7523e+06	79.096	50.732	254.65	135.39	84.127	120.29	111.98	104.03	145.92	247.28	113.06	71.95	11.678	738.34
1.7973	1.7037	76.446	109.08	112.86	0.59845	86.062	403.59	291.24	99.435	90.103	94.107	31.145	7.9654	252.57	98.543	88.314	69.427	126.81	0.12774	1508.9	4571.1	112.81	109.02	2330.2	23.874	118.1	132.09	3.7071e+05	2.1109e+06	4.3633	82.192	104.62	77.745	93.884	119.12	11.863	8252.1	468.9	84.029	86.138	134.08	0.18544	130.86	29593	107.68	6318.7	513.88	121.96	127.29	94.078	800.59	771.44	86.771	72.834	117.16	71.167	744.53
65.926	115.98	71.558	556.51	114.3	4.5438e+05	17.857	62.729	92.267	102.63	92.587	0.0024865	4.3872	168.47	131.4	575.26	89.869	0.22872	85.304	146.49	98.538	0.12098	1.4883e+05	64.626	10.602	126.26	3749.5	91.759	4.211	43.502	122.81	108.81	93.499	1560	103.09	96.103	49.855	120.17	120	131.45	91.022	270.1	138.92	0.21923	2947.1	284.43	121.54	105.16	2.3185e+05	129.33	131.52	32.577	0.18436	61.226	68.81	97.062	1.0266e+06	138.02
